epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3435,1.88515,3.31563,2.00694,0.00167,0.5,0.00323,0.00052,3.57151,4.69401,4.43182,0.09505,5e-05,5e-05
2,33.4295,1.77552,3.11169,1.86748,0.00167,0.5,0.01181,0.00118,3.71055,4.55652,4.72038,0.0891078,0.000107822,0.000107822
3,43.5942,1.77373,2.9886,1.75329,0.00167,0.5,0.01552,0.00155,3.74011,4.13164,4.21677,0.0831633,0.000163268,0.000163268
4,60.7637,1.57108,2.72904,1.66691,0.00083,0.25,0.01789,0.00358,3.58705,4.03839,3.72717,0.0772163,0.000216338,0.000216338
5,72.816,1.61732,2.61862,1.76524,0.00174,0.5,0.24928,0.02493,3.55712,3.95017,3.88445,0.071267,0.000267032,0.000267032
6,83.2319,1.80707,2.40524,1.86886,0.00235,0.5,0.24938,0.03734,3.65503,3.80459,3.9567,0.0653154,0.00031535,0.00031535
7,93.8725,1.72156,2.44749,1.81825,0.00317,0.5,0.06369,0.01897,3.44318,3.93342,3.74363,0.0593613,0.000361292,0.000361292
8,103.984,1.61647,2.38105,1.74811,0.00507,1,0.068,0.01926,3.17452,3.75926,3.49738,0.0534049,0.000404858,0.000404858
9,126.441,1.60488,2.23246,1.73518,0.00507,1,0.25346,0.07673,2.97118,3.44706,3.2711,0.047446,0.000446048,0.000446048
10,169.772,1.52925,2.16683,1.66511,0.02681,0.75,0.74689,0.15081,2.69769,3.09428,2.71215,0.0414849,0.000484862,0.000484862
11,189.247,1.62869,2.14312,1.79019,0.68054,0.25,0.69268,0.19873,2.48521,2.60284,2.51704,0.0355213,0.0005213,0.0005213
12,212.644,1.62565,2.23195,1.80036,0.73738,0.5,0.82917,0.2819,2.45938,2.13057,2.38539,0.0295554,0.000555362,0.000555362
13,222.854,1.54999,2.04564,1.6532,0.60777,1,0.82917,0.33743,2.26028,2.0854,2.16935,0.023587,0.000587048,0.000587048
14,233.578,1.47136,1.89532,1.60946,0.49867,0.80656,0.72125,0.37562,2.06695,2.17928,2.10651,0.0176164,0.000616358,0.000616358
15,244.531,1.4964,1.93873,1.68491,0.49867,0.80656,0.72125,0.37562,2.06695,2.17928,2.10651,0.0116433,0.000643292,0.000643292
16,265.973,1.48802,1.96243,1.65554,0.35446,0.75,0.795,0.4623,1.91768,2.26571,1.99151,0.00566785,0.00066785,0.00066785
17,276.13,1.49015,1.91388,1.66885,0.91342,0.25,0.54625,0.28453,1.93449,2.41944,1.92041,0.0006832,0.0006832,0.0006832
