epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.029,1.97424,3.11283,1.77871,0.01508,0.62746,0.20813,0.08855,1.37343,3.02359,1.2918,0.00030006,0.00030006,0.00030006
2,105.914,1.49899,1.69698,1.32768,0.85997,0.57844,0.75835,0.43161,1.34735,2.45692,1.23653,0.000604578,0.000604578,0.000604578
3,166.508,1.43757,1.28543,1.25327,0.69445,0.45785,0.68208,0.39699,1.43071,2.14129,1.36603,0.000896553,0.000896553,0.000896553
4,234.949,1.41302,1.1922,1.21923,0.58622,0.60811,0.62569,0.31432,1.67309,1.82892,1.4278,0.00117599,0.00117599,0.00117599
5,307.433,1.42004,1.11246,1.19529,0.59145,0.63667,0.59077,0.31325,1.42934,1.45672,1.29331,0.00144288,0.00144288,0.00144288
6,384.712,1.40098,1.12976,1.23885,0.669,0.6076,0.60489,0.34489,1.38945,1.31373,1.25459,0.00150197,0.00150197,0.00150197
7,459.954,1.37696,1.05798,1.18452,0.93248,0.73919,0.7816,0.45158,1.29643,0.98571,1.16525,0.00146896,0.00146896,0.00146896
8,542.44,1.32557,0.99833,1.16202,0.8656,0.66244,0.69585,0.4226,1.24408,0.97173,1.14117,0.00143595,0.00143595,0.00143595
9,626.747,1.36057,0.98705,1.18401,0.89986,0.6116,0.61879,0.35602,1.24098,0.82973,1.14828,0.00140295,0.00140295,0.00140295
10,708.379,1.28396,0.92363,1.15255,0.91548,0.65223,0.67117,0.3779,1.2812,0.84798,1.16442,0.00136994,0.00136994,0.00136994
11,816.92,1.30367,0.94194,1.1654,0.93829,0.57076,0.59044,0.34564,1.23483,0.84847,1.12747,0.00133693,0.00133693,0.00133693
12,941.848,1.26509,0.90673,1.11867,0.8538,0.33548,0.35813,0.20416,1.35342,0.94284,1.21411,0.00130393,0.00130393,0.00130393
13,1058.21,1.27756,0.91289,1.15277,0.90707,0.40447,0.42309,0.25603,1.23586,0.83163,1.15162,0.00127092,0.00127092,0.00127092
14,1187.93,1.27721,0.89065,1.13997,0.91356,0.37092,0.3825,0.23487,1.21178,0.78641,1.12309,0.00123791,0.00123791,0.00123791
15,1307.4,1.25819,0.887,1.15426,0.94786,0.39569,0.41211,0.25127,1.16867,0.79934,1.10672,0.00120491,0.00120491,0.00120491
16,1415.78,1.24399,0.84769,1.11284,0.90797,0.47201,0.46462,0.26258,1.22796,0.80263,1.12483,0.0011719,0.0011719,0.0011719
17,1517.5,1.23798,0.84055,1.11769,0.95651,0.45821,0.47762,0.31576,1.13517,0.78217,1.07602,0.00113889,0.00113889,0.00113889
18,1644.47,1.20835,0.82854,1.10315,0.95696,0.49262,0.50906,0.34616,1.09372,0.74057,1.05429,0.00110589,0.00110589,0.00110589
19,1768.83,1.23589,0.84258,1.12726,0.94519,0.39757,0.41737,0.28024,1.10267,0.70693,1.05211,0.00107288,0.00107288,0.00107288
20,1886.51,1.20024,0.81683,1.10587,0.97395,0.3679,0.38293,0.26237,1.09191,0.69286,1.0469,0.00103987,0.00103987,0.00103987
21,2009.24,1.16549,0.78888,1.07196,0.96284,0.37439,0.39039,0.2689,1.06055,0.68406,1.0453,0.00100687,0.00100687,0.00100687
22,2130.79,1.15199,0.77081,1.08182,0.96068,0.44397,0.46103,0.30898,1.07231,0.6764,1.04795,0.000973861,0.000973861,0.000973861
23,2271.72,1.16315,0.76746,1.07916,0.93703,0.43641,0.45337,0.31004,1.06179,0.674,1.04305,0.000940855,0.000940855,0.000940855
24,2394.04,1.12517,0.75612,1.06984,0.90761,0.39255,0.40739,0.26889,1.1205,0.70566,1.0808,0.000907848,0.000907848,0.000907848
25,2503.35,1.12889,0.75909,1.08394,0.96863,0.43021,0.44179,0.30729,1.03122,0.65375,1.03203,0.000874842,0.000874842,0.000874842
26,2672.26,1.11814,0.75315,1.07633,0.97446,0.5006,0.51346,0.35715,1.01481,0.63515,1.01778,0.000841835,0.000841835,0.000841835
