epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.763,0.70628,1.34774,1.2092,0.96535,0.79591,0.92229,0.77482,0.5898,1.19041,1.42854,0.000660194,0.000660194,0.000660194
2,349.158,0.60357,0.84867,1.10022,0.66249,0.65974,0.64548,0.42534,0.98569,1.86284,1.59852,0.00128307,0.00128307,0.00128307
3,610.821,0.61899,0.76483,1.10969,0.85983,0.44156,0.50534,0.44552,0.64814,1.35053,1.41283,0.00186195,0.00186195,0.00186195
4,1101.73,0.61589,0.69719,1.09965,0.61066,0.48831,0.50962,0.40241,0.95686,2.28746,1.65629,0.001802,0.001802,0.001802
5,1431.05,0.5642,0.60566,1.05544,0.94144,0.70649,0.73648,0.7052,0.42459,0.67177,1.25944,0.001736,0.001736,0.001736
6,1739.76,0.52888,0.55315,1.0384,0.91509,0.64416,0.64933,0.59114,0.39839,0.55446,1.16937,0.00167,0.00167,0.00167
7,2060.64,0.50671,0.50472,1.02884,0.95917,0.74545,0.76375,0.69957,0.47555,0.55656,1.30417,0.001604,0.001604,0.001604
8,2377.59,0.49164,0.49244,1.02885,0.97586,0.71169,0.75172,0.68872,0.43807,0.50338,1.20221,0.001538,0.001538,0.001538
9,2826.33,0.49814,0.48566,1.02101,0.94895,0.62762,0.66275,0.62999,0.38698,0.46868,1.15535,0.001472,0.001472,0.001472
10,3317.79,0.4718,0.46095,1.01534,0.93706,0.72987,0.74125,0.70677,0.40142,0.3677,1.16357,0.001406,0.001406,0.001406
11,3931.98,0.44792,0.42758,0.99884,0.97437,0.63117,0.64533,0.60676,0.36447,0.37282,1.15406,0.00134,0.00134,0.00134
