epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.618,0.77247,1.72613,1.26966,0.96281,0.26407,0.29202,0.24843,0.53679,1.67122,1.32941,0.000471963,0.000471963,0.000471963
2,542.336,0.64172,1.01294,1.10664,0.97333,0.1991,0.21714,0.1807,0.84999,1.4927,1.47916,0.00092952,0.00092952,0.00092952
3,770.185,0.61005,0.87045,1.11123,0.97251,0.21194,0.22311,0.20641,0.43406,1.02354,1.20039,0.00136821,0.00136821,0.00136821
4,1041.95,0.56963,0.74669,1.07999,0.96744,0.14113,0.14595,0.12347,0.60126,0.94757,1.307,0.00134412,0.00134412,0.00134412
5,1329.06,0.57833,0.71895,1.07805,0.9774,0.16277,0.17138,0.15835,0.46015,0.71815,1.22462,0.00131582,0.00131582,0.00131582
6,1644.11,0.55573,0.69658,1.07643,0.99328,0.18528,0.2219,0.19475,0.53356,0.7607,1.31511,0.00128753,0.00128753,0.00128753
7,1946.01,0.52087,0.60569,1.05549,0.60613,0.40909,0.25929,0.23066,0.43325,0.55808,1.22432,0.00125923,0.00125923,0.00125923
8,2282.06,0.53944,0.59619,1.05343,0.95591,0.23858,0.4056,0.29464,0.32596,0.39793,1.12624,0.00123094,0.00123094,0.00123094
9,2586.95,0.50072,0.55894,1.03504,0.95307,0.45671,0.45697,0.32569,0.32958,0.39544,1.11573,0.00120265,0.00120265,0.00120265
10,3284.27,0.47216,0.52291,1.01785,0.6722,0.39437,0.32046,0.24555,0.34708,0.40972,1.14032,0.00117435,0.00117435,0.00117435
